Theme,Topic,Recommendation,Grade,Evidence,References,Link
Réanimation,**Traumatisme thoracique**: prise en charge des 48 premieres heures,"A propos des critères de gravité, de
comment orienter un traumatisé thoracique en
fonction de ces critères, et des éléments prédisant la gravité du
traumatisme thoracique.
Les experts recommandent de considérer comme éléments de gravité potentielle les antécédents du patient : un âge de plus de 65 ans, une pathologie pulmonaire ou cardiovasculaire chronique, un trouble de la coagulation congénital ou acquis (traitement anticoagulant ou antiagrégant), les circonstances de survenue telles qu'un traumatisme de forte cinétique et/ou un traumatisme pénétrant",1+,"L'existence d'antécédents pulmonaires sévères (BPCO, IRCO) ou cardiovasculaires (coronaropathie, insuffisance cardiaque), ou d'un âge > 65 ans, majorent le risque de décès par 2 ou 3 lors de la survenue d'un traumatisme thoracique (RR = 1,98 IC95 [1,86–2,11]) [1]. La constatation d'un traumatisme pénétrant augmente la mortalité par 2,6 (IC95 [2,42–2,85]) [2].","[1] Battle CE, Hutchings H, Evans PA. Risk factors
that predict mortality in patients with blunt
chest wall trauma: a systematic review and
meta-analysis. Injury 2012;43:8–17.
[2] Ottochian M, Salim A, DuBose J, Teixeira
PG, Chan LS, Margulies DR. Does age
matter? The relationship between age and
mortality in penetrating trauma. Injury
2009;40:354–7.",https://sfar.org/wp-content/uploads/2015/10/2_AFAR_Traumatisme-thoracique-_prise-en-charge-des-48-premieres-heures.pdf
Réanimation,**Traumatisme thoracique**: prise en charge des 48 premieres heures,"A propos des critères de gravité, de
comment orienter un traumatisé thoracique en
fonction de ces critères, et des éléments prédisant la gravité du
traumatisme thoracique.
Les experts recommandent de considérer comme critères de gravité lors d'un traumatisme thoracique, l'existence de plus de 2 fractures de côtes, surtout chez un patient âgé de plus de 65 ans, la constatation d'une détresse respiratoire clinique avec une FR > 25/min et/ou une hypoxémie (SpO2 < 90 % sous AA ou
< 95 % malgré une oxygénothérapie), d'une détresse circulatoire (chute de PAS > 30 % ou PAS < 110 mmHg).",1+,"L'existence d'une détresse vitale, circulatoire ou ventilatoire est un critère évident de gravité. Toutefois, à la phase initiale, l'examen clinique peut être faussement rassurant. Une SpO2 inférieure à 95 % sous O2 à haute concentration est un critère dynamique
de gravité. Une pression artérielle systolique < 110 mmHg [3] ou inférieure de 30 % aux valeurs habituelles d'un patient hypertendu, est le reflet d'une défaillance circulatoire possible et prédit le risque d'une intervention thérapeutique urgente à l'admission hospitalière [4].","[3] Hasler RM, Nüesch E, Jüni P, Bouamra O,
Exadaktylos AK, Lecky F. Systolic blood pres-
sure below 110 mmHg is associated with
increased mortality in penetrating major
trauma patients: multicentre cohort study.
Resuscitation 2012;83:476–81.
[4] Raux M, Sartorius D, Le Manach Y, David JS,
Riou B, Vivien B. What do prehospital trauma
scores predict besides mortality? J Trauma
2011;71:754–9.",https://sfar.org/wp-content/uploads/2015/10/2_AFAR_Traumatisme-thoracique-_prise-en-charge-des-48-premieres-heures.pdf
Réanimation,**Traumatisme thoracique**: prise en charge des 48 premieres heures,"A propos des critères de gravité, de
comment orienter un traumatisé thoracique en
fonction de ces critères, et des éléments prédisant la gravité du
traumatisme thoracique.
Les experts proposent l'utilisation du score de MGAP afin de trier les patients ne présentant pas de critère de gravité initiale",2+,"La prise en compte de l'âge, de la valeur du Glasgow Coma Scale, de la pression artérielle et du caractère pénétrant ou non, au sein du score MGAP, permet de trier les patients à faible risque de mortalité [5].","[5] Sartorius D, Le Manach Y, David JS, Rancurel
E, Smail N, Thicoïpé M, et al. Mechanism,
glasgow coma scale, age, and arterial pres-
sure (MGAP): a new simple prehospital triage
score to predict mortality in trauma patients.
Crit Care Med 2010;38:831–7.",https://sfar.org/wp-content/uploads/2015/10/2_AFAR_Traumatisme-thoracique-_prise-en-charge-des-48-premieres-heures.pdf
Réanimation,**Traumatisme thoracique**: prise en charge des 48 premieres heures,"A propos des critères de gravité, de
comment orienter un traumatisé thoracique en
fonction de ces critères, et l'orientation et les conditions de
prise en charge d'un patient présentant des facteurs de
gravité.
Les experts recommandent un transport médicalisé pour tout patient présentant des critères potentiels de gravité ou des signes de détresse vitale. L'orientation se fera vers un centre de référence dès l'existence de signes de détresse respiratoire et/ou circulatoire.",1+,"L'admission des patients avec des signes de détresse vitale en
centre spécialisé réduit de façon significative la mortalité
(RR = 0,88 IC95 [0,6–0,88]) [6,7].","[6] MacKenzie EJ, Rivara FD, Jurkovitch GJ,
Nathens AB, Frey KP, Egleston BL, et al. A
national evaluation on the effect on trauma-
center care mortality. N Engl J Med
2006;354:366–78.
[7] Yeguiayan JM, Garrigue D, Binquet C, Jacquot
C, Duranteau J, Martin C, et al. Medical pre-
hospital management reduces mortality in
severe blunt trauma: a prospective epidemio-
logical study. Crit Care 2011;15:R34.",https://sfar.org/wp-content/uploads/2015/10/2_AFAR_Traumatisme-thoracique-_prise-en-charge-des-48-premieres-heures.pdf
Réanimation,**Traumatisme thoracique**: prise en charge des 48 premieres heures,"A propos des critères de gravité, de
comment orienter un traumatisé thoracique en
fonction de ces critères, et l'orientation et les conditions de
prise en charge d'un patient présentant des facteurs de
gravité.
Les experts proposent que tout patient présentant un terrain
à risque bénéficie d'un avis spécialisé, si nécessaire par téléphone
ou télétransmission. Ces patients doivent pouvoir être surveillés
pendant 24 heures. Les experts proposent de mettre en place des
conventions entre établissements pour organiser les conditions de
réalisation des avis spécialisés",AE,"L'admission directe en centre
spécialisé doit être préférée car une admission préalable dans
un centre non spécialisée (hôpital de proximité) s'accompagne
d'une augmentation significative de la mortalité (RR = 2,70 IC95
[1,31–5,6]) [8].","[8] Garwe T, Cowan LD, Neas BR, Sacra JC,
Albrecht RM. Directness of Transport of Major
Trauma Patients to a Level I Trauma Center: A
Propensity-Adjusted Survival Analysis of the
Impact on Short-Term Mortality. J Trauma
2011;70:1118–27.",https://sfar.org/wp-content/uploads/2015/10/2_AFAR_Traumatisme-thoracique-_prise-en-charge-des-48-premieres-heures.pdf
Réanimation,**Traumatisme thoracique**: prise en charge des 48 premieres heures,"A propos de la stratégie diagnostique à la
prise en charge d'un traumatisme thoracique chez le patient en
instabilité hémodynamique et/ou respiratoire.
En complément de l'examen clinique, les experts suggèrent que
l'échographie pleuropulmonaire soit associée à la FAST
échographie en préhospitalier à la recherche d'un épanchement
gazeux ou liquidien associée à une évaluation péricardique. Cet
examen doit être réalisé par un praticien expérimenté et ne doit
pas retarder la prise en charge.",2+,"En traumatologie, l'échographie pleurale a montré sa supériorité
à la radiographie thoracique pour le diagnostic des épanche-
ments intrathoraciques liquidiens ou gazeux au déchocage [9].
La sensibilité et la spécificité de l'échographie pleurale pour le
diagnostic de pneumothorax sont notamment supérieures à la
radiographie thoracique avec une sensibilité de 78,6 % (IC95
[68,1–98,1]) et une spécificité de 98,4 % (IC95 [97,3–99,5]) [10].
La radiographie thoracique au lit du patient reste obligatoire en
tant qu'examen radiologique initial des patients traumatisés
graves instables [11]. Concernant le préhospitalier, l'utilisation
des ultrasons en traumatologie thoracique reste peu décrite
dans la littérature, essentiellement par des études de faible 
niveau de preuve reportant l'utilisation de la FAST échographie dans des situations cliniques diverses. Cependant, l'utilisation
des ultrasons en préhospitalier est réalisable et très fiable pour
la détection des hémopéricardes post-traumatiques [12].","[9] Hyacinthe AC, Broux C, Francony G, Genty C,
Bouzat P, Jacquot C, et al. Diagnostic accuracy
of ultrasonography in the acute assessment of
common thoracic lesions after trauma. Chest
2012;141:1177–83.
[10] Alrajab S, Youssef AM, Akkus NI, Caldito G.
Pleural ultrasonography versus chest radio-
graphy for the diagnosis of pneumothorax:
review of the literature and meta-analysis.
Crit Care 2013;17:R208.
[11] Peytel E, Menegaux F, Cluzel P, Langeron O,
Coriat P, Riou B. Initial imaging of severe
blunt trauma. Intensive Care Med 2001;27:
1756–61.
[12] Jørgensen H, Jensen CH, Dirks J. Does pre-
hospital ultrasound improve treatment of the
trauma patient? A systematic review. Eur J
Emerg Med 2010;17:249–53.",https://sfar.org/wp-content/uploads/2015/10/2_AFAR_Traumatisme-thoracique-_prise-en-charge-des-48-premieres-heures.pdf
Réanimation,**Traumatisme thoracique**: prise en charge des 48 premieres heures,"A propos de la stratégie diagnostique à la
prise en charge d'un traumatisme thoracique chez le patient en
instabilité hémodynamique et/ou respiratoire.
Au déchocage, les experts recommandent l'échographie
pleuropulmonaire associée à la FAST écho- et la radiographie du
thorax en première intention.",1+,"En traumatologie, l'échographie pleurale a montré sa supériorité
à la radiographie thoracique pour le diagnostic des épanche-
ments intrathoraciques liquidiens ou gazeux au déchocage [9].
La sensibilité et la spécificité de l'échographie pleurale pour le
diagnostic de pneumothorax sont notamment supérieures à la
radiographie thoracique avec une sensibilité de 78,6 % (IC95
[68,1–98,1]) et une spécificité de 98,4 % (IC95 [97,3–99,5]) [10].
La radiographie thoracique au lit du patient reste obligatoire en
tant qu'examen radiologique initial des patients traumatisés
graves instables [11]. Concernant le préhospitalier, l'utilisation
des ultrasons en traumatologie thoracique reste peu décrite
dans la littérature, essentiellement par des études de faible 
niveau de preuve reportant l'utilisation de la FAST échographie dans des situations cliniques diverses. Cependant, l'utilisation
des ultrasons en préhospitalier est réalisable et très fiable pour
la détection des hémopéricardes post-traumatiques [12].","[9] Hyacinthe AC, Broux C, Francony G, Genty C,
Bouzat P, Jacquot C, et al. Diagnostic accuracy
of ultrasonography in the acute assessment of
common thoracic lesions after trauma. Chest
2012;141:1177–83.
[10] Alrajab S, Youssef AM, Akkus NI, Caldito G.
Pleural ultrasonography versus chest radio-
graphy for the diagnosis of pneumothorax:
review of the literature and meta-analysis.
Crit Care 2013;17:R208.
[11] Peytel E, Menegaux F, Cluzel P, Langeron O,
Coriat P, Riou B. Initial imaging of severe
blunt trauma. Intensive Care Med 2001;27:
1756–61.
[12] Jørgensen H, Jensen CH, Dirks J. Does pre-
hospital ultrasound improve treatment of the
trauma patient? A systematic review. Eur J
Emerg Med 2010;17:249–53.",https://sfar.org/wp-content/uploads/2015/10/2_AFAR_Traumatisme-thoracique-_prise-en-charge-des-48-premieres-heures.pdf
Réanimation,**Traumatisme thoracique**: prise en charge des 48 premieres heures,"A propos de la stratégie diagnostique à la
prise en charge d'un traumatisme thoracique chez le patient stable ou stabilisé.
Chez les patients avec critères de gravité, les experts
recommandent la réalisation systématique d'une
tomodensitométrie thoracique avec injection en tant qu'élément
de la tomodensitométrie corps entier.",1+,"La TDM thoracique avec injection de produit contraste est l'examen
de référence pour le diagnostic exhaustif des lésions thoraciques
post-traumatiques [13]. Dans le cadre d'un traumatisme grave, la
tomodensitométrie thoracique s'intègre dans la réalisation d'une
tomodensitométrie corps entier, cet examen ayant montré une
réduction relative de la mortalité intrahospitalière observée de
25 % (IC95 [14–37]) par rapport à la mortalité prédite par le score
TRISS (Trauma and Injury Severity Score) et de 13 % (IC95 [4–23])
par le score RISC (Revised Injury Severity Classification) [14].
Chez les patients stables sans critères de gravité, l'échographie
pleuropulmonaire permet le diagnostic des fractures sternales
ou costales suspectées ignorées par la radiographie de thorax.
Elle peut faire le diagnostic d'un hémothorax ou d'un pneumo-
thorax non visible sur le cliché thoracique de face [15,16]. La
radiographie de thorax est inutile chez les patients conscients,
sans douleur thoracique, victimes d'un traumatisme du thorax
fermé avec un examen clinique normal [17,18].","[13] Scaglione M, Pinto A, Pedrosa I, Sparano A,
Romano L. Multi-detector row computed
tomography and blunt chest trauma. Eur J
Radiol 2008;65:377–88. 
[14] Huber-Wagner S, Lefering R, Qvick LM,
Körner M, Kay MV, Pfeifer KJ, et al. Effect
of whole-body CT during trauma resuscitation
on survival: a retrospective, multicentre study.
Lancet 2009;373:1455–61.
[15] Brooks A, Davies B, Smethhurst M, Connolly
J. Emergency ultrasound in the acute assess-
ment of haemothorax. Emerg Med J 2004;21:
44–6.
[16] Ma OJ, Mateer JR. Trauma ultrasound exam-
ination versus chest radiography in the detec-
tion of hemothorax. Ann Emerg Med 1997;29:
312–5.
[17] Bokhari F, Brakenridge S, Nagy K, Roberts R,
Smith R, Joseph K, et al. Prospective evalua-
tion of the sensitivity of physical examination
in chest trauma. J Trauma 2003;54:1255–6.
[18] Rainer TH, Griffith JF, Lam E, Lam PK,
Metreweli C. Comparison of thoracic ultra-
sound, clinical acumen, and radiography in
patients with minor chest injury. J Trauma
2004;56:1211–3.",https://sfar.org/wp-content/uploads/2015/10/2_AFAR_Traumatisme-thoracique-_prise-en-charge-des-48-premieres-heures.pdf
Réanimation,**Traumatisme thoracique**: prise en charge des 48 premieres heures,"A propos de la stratégie diagnostique à la
prise en charge d'un traumatisme thoracique chez le patient stable ou stabilisé.
Les experts suggèrent de faire une échographie pleuropulmonaire
et de ne pas réaliser de radiographies du thorax si l'examen
clinique de la victime ne met en évidence qu'une lésion pariétale
bénigne isolée sans critère de gravité.",2+,"La TDM thoracique avec injection de produit contraste est l'examen
de référence pour le diagnostic exhaustif des lésions thoraciques
post-traumatiques [13]. Dans le cadre d'un traumatisme grave, la
tomodensitométrie thoracique s'intègre dans la réalisation d'une
tomodensitométrie corps entier, cet examen ayant montré une
réduction relative de la mortalité intrahospitalière observée de
25 % (IC95 [14–37]) par rapport à la mortalité prédite par le score
TRISS (Trauma and Injury Severity Score) et de 13 % (IC95 [4–23])
par le score RISC (Revised Injury Severity Classification) [14].
Chez les patients stables sans critères de gravité, l'échographie
pleuropulmonaire permet le diagnostic des fractures sternales
ou costales suspectées ignorées par la radiographie de thorax.
Elle peut faire le diagnostic d'un hémothorax ou d'un pneumo-
thorax non visible sur le cliché thoracique de face [15,16]. La
radiographie de thorax est inutile chez les patients conscients,
sans douleur thoracique, victimes d'un traumatisme du thorax
fermé avec un examen clinique normal [17,18].","[13] Scaglione M, Pinto A, Pedrosa I, Sparano A,
Romano L. Multi-detector row computed
tomography and blunt chest trauma. Eur J
Radiol 2008;65:377–88. 
[14] Huber-Wagner S, Lefering R, Qvick LM,
Körner M, Kay MV, Pfeifer KJ, et al. Effect
of whole-body CT during trauma resuscitation
on survival: a retrospective, multicentre study.
Lancet 2009;373:1455–61.
[15] Brooks A, Davies B, Smethhurst M, Connolly
J. Emergency ultrasound in the acute assess-
ment of haemothorax. Emerg Med J 2004;21:
44–6.
[16] Ma OJ, Mateer JR. Trauma ultrasound exam-
ination versus chest radiography in the detec-
tion of hemothorax. Ann Emerg Med 1997;29:
312–5.
[17] Bokhari F, Brakenridge S, Nagy K, Roberts R,
Smith R, Joseph K, et al. Prospective evalua-
tion of the sensitivity of physical examination
in chest trauma. J Trauma 2003;54:1255–6.
[18] Rainer TH, Griffith JF, Lam E, Lam PK,
Metreweli C. Comparison of thoracic ultra-
sound, clinical acumen, and radiography in
patients with minor chest injury. J Trauma
2004;56:1211–3.",https://sfar.org/wp-content/uploads/2015/10/2_AFAR_Traumatisme-thoracique-_prise-en-charge-des-48-premieres-heures.pdf
Réanimation,**Traumatisme thoracique**: prise en charge des 48 premieres heures,"A propos de la stratégie diagnostique à la
prise en charge d'un traumatisme thoracique chez le patient stable ou stabilisé.
En cas de lésion thoracique, autre que pariétale suspectée par
l'examen clinique ou révélée par l'échographie pleuropulmonaire
ou une radiographie du thorax, les experts recommandent la
réalisation d'une tomodensitométrie thoracique injectée.",1+,"La TDM thoracique avec injection de produit contraste est l'examen
de référence pour le diagnostic exhaustif des lésions thoraciques
post-traumatiques [13]. Dans le cadre d'un traumatisme grave, la
tomodensitométrie thoracique s'intègre dans la réalisation d'une
tomodensitométrie corps entier, cet examen ayant montré une
réduction relative de la mortalité intrahospitalière observée de
25 % (IC95 [14–37]) par rapport à la mortalité prédite par le score
TRISS (Trauma and Injury Severity Score) et de 13 % (IC95 [4–23])
par le score RISC (Revised Injury Severity Classification) [14].
Chez les patients stables sans critères de gravité, l'échographie
pleuropulmonaire permet le diagnostic des fractures sternales
ou costales suspectées ignorées par la radiographie de thorax.
Elle peut faire le diagnostic d'un hémothorax ou d'un pneumo-
thorax non visible sur le cliché thoracique de face [15,16]. La
radiographie de thorax est inutile chez les patients conscients,
sans douleur thoracique, victimes d'un traumatisme du thorax
fermé avec un examen clinique normal [17,18].","[13] Scaglione M, Pinto A, Pedrosa I, Sparano A,
Romano L. Multi-detector row computed
tomography and blunt chest trauma. Eur J
Radiol 2008;65:377–88. 
[14] Huber-Wagner S, Lefering R, Qvick LM,
Körner M, Kay MV, Pfeifer KJ, et al. Effect
of whole-body CT during trauma resuscitation
on survival: a retrospective, multicentre study.
Lancet 2009;373:1455–61.
[15] Brooks A, Davies B, Smethhurst M, Connolly
J. Emergency ultrasound in the acute assess-
ment of haemothorax. Emerg Med J 2004;21:
44–6.
[16] Ma OJ, Mateer JR. Trauma ultrasound exam-
ination versus chest radiography in the detec-
tion of hemothorax. Ann Emerg Med 1997;29:
312–5.
[17] Bokhari F, Brakenridge S, Nagy K, Roberts R,
Smith R, Joseph K, et al. Prospective evalua-
tion of the sensitivity of physical examination
in chest trauma. J Trauma 2003;54:1255–6.
[18] Rainer TH, Griffith JF, Lam E, Lam PK,
Metreweli C. Comparison of thoracic ultra-
sound, clinical acumen, and radiography in
patients with minor chest injury. J Trauma
2004;56:1211–3.",https://sfar.org/wp-content/uploads/2015/10/2_AFAR_Traumatisme-thoracique-_prise-en-charge-des-48-premieres-heures.pdf
